trade_date,stock_code,open,high,low,close,volume,amount,adj_type,source,fetch_time
2026-03-31,US.AAPL,247.91000366210938,255.47999572753906,247.1009979248047,253.7899932861328,48770963,12377582372.328232,qfq,yfinance,2026-04-01 07:29:42
2026-04-01,US.AAPL,254.3000030517578,256.17999267578125,253.3300018310547,255.6300048828125,35595400,9099252275.805664,qfq,yfinance,2026-04-02 08:24:00
2026-04-02,US.AAPL,254.1999969482422,256.1300048828125,250.64999389648438,255.9199981689453,31264600,8001236374.752808,qfq,yfinance,2026-04-03 22:26:27
