trade_date,stock_code,open,high,low,close,volume,amount,adj_type,source,fetch_time
2026-03-31,US.WMT,123.73999786376953,125.0,122.83999633789062,124.27999877929688,18601647,2311812666.4529114,qfq,yfinance,2026-04-01 07:29:58
2026-04-01,US.WMT,124.0,125.2300033569336,123.12999725341797,124.73999786376953,16948532,2114159845.4740295,qfq,yfinance,2026-04-02 08:24:15
2026-04-02,US.WMT,125.1500015258789,125.9000015258789,124.1500015258789,125.79000091552734,11894100,1496158849.8893738,qfq,yfinance,2026-04-03 22:26:52
