trade_date,stock_code,open,high,low,close,volume,amount,adj_type,source,fetch_time
2026-03-31,US.AMZN,204.875,210.27999877929688,204.13999938964844,208.27000427246094,57843337,12047032044.123398,qfq,yfinance,2026-04-01 07:29:45
2026-04-01,US.AMZN,210.43499755859375,213.5800018310547,208.19000244140625,210.57000732421875,43846286,9232712764.15979,qfq,yfinance,2026-04-02 08:24:01
2026-04-02,US.AMZN,206.5399932861328,212.2100067138672,204.89999389648438,209.77000427246094,31405300,6587889915.1779175,qfq,yfinance,2026-04-03 22:26:34
