trade_date,stock_code,open,high,low,close,volume,amount,adj_type,source,fetch_time
2026-03-31,US.GOOGL,278.0400085449219,288.07000732421875,277.0899963378906,287.55999755859375,42262462,12152993469.540161,qfq,yfinance,2026-04-01 07:29:43
2026-04-01,US.GOOGL,290.8349914550781,300.5199890136719,290.4100036621094,297.3900146484375,37550664,11167192517.018555,qfq,yfinance,2026-04-02 08:24:00
2026-04-02,US.GOOGL,290.69000244140625,298.0799865722656,289.45001220703125,295.7699890136719,21643000,6401349872.2229,qfq,yfinance,2026-04-03 22:26:30
