trade_date,stock_code,open,high,low,close,volume,amount,adj_type,source,fetch_time
2026-03-31,US.META,549.97998046875,573.6900024414062,546.77001953125,572.1300048828125,32156046,18397438754.991943,qfq,yfinance,2026-04-01 07:29:45
2026-04-01,US.META,581.0700073242188,592.5465087890625,573.9155883789062,579.22998046875,23258579,13472066259.900879,qfq,yfinance,2026-04-02 08:24:02
2026-04-02,US.META,566.0399780273438,578.5,559.7000122070312,574.4600219726562,13500300,7755382634.637451,qfq,yfinance,2026-04-03 22:26:35
