trade_date,stock_code,open,high,low,close,volume,amount,adj_type,source,fetch_time
2026-03-31,US.AVGO,299.3900146484375,310.3099060058594,296.3349914550781,309.510009765625,29218942,9043555023.76123,qfq,yfinance,2026-04-01 07:29:46
2026-04-01,US.AVGO,313.364990234375,315.7900085449219,310.4800109863281,313.489990234375,19093478,5985614231.760254,qfq,yfinance,2026-04-02 08:24:02
2026-04-02,US.AVGO,304.489990234375,314.69000244140625,301.75,314.54998779296875,14001300,4404108744.085693,qfq,yfinance,2026-04-03 22:26:37
