trade_date,stock_code,open,high,low,close,volume,amount,adj_type,source,fetch_time
2026-03-31,US.TSLA,361.6199951171875,373.3299865722656,361.239990234375,371.75,75198376,27954996278.0,qfq,yfinance,2026-04-01 07:29:47
2026-04-01,US.TSLA,378.7699890136719,383.1400146484375,374.0799865722656,381.260009765625,55816862,21280737351.206543,qfq,yfinance,2026-04-02 08:24:04
2026-04-02,US.TSLA,364.20001220703125,370.2799987792969,359.0299987792969,360.5899963378906,82768800,29845601288.8916,qfq,yfinance,2026-04-03 22:26:38
