trade_date,stock_code,open,high,low,close,volume,amount,adj_type,source,fetch_time
2026-03-31,HK.09988,120.8,122.1,117.8,119.0,72026359,8583525817.0,qfq,futu,2026-03-31 22:53:02
2026-04-01,HK.09988,123.3,124.0,121.5,122.7,67832865,8329040909.0,qfq,futu,2026-04-01 20:45:27
2026-04-02,HK.09988,121.0,121.0,117.5,118.5,95121535,11273432323.0,qfq,futu,2026-04-03 22:26:24
